id,onoma,long,lat
219,ΕΝΙΑΙΟ ΛΥΚΕΙΟ ΝΕΑΣ ΦΙΓΑΛΕΙΑΣ,21.773605,37.43963
220,ΕΝΙΑΙΟ ΛΥΚΕΙΟ ΚΑΜΑΡΩΝ,22.004081,38.299662
221,"6ο ΕΝΙΑΙΟ ΛΥΚΕΙΟ ΠΑΤΡΑΣ ""ΑΝΔΡΕΑΣ ΠΑΠΑΝΔΡΕΟΥ""",21.73936,38.250326
222,ΕΝΙΑΙΟ ΛΥΚΕΙΟ ΚΑΤΩ ΑΧΑΙΑΣ,21.54315,38.142529
223,ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΣΚΟΥΤΑΡΟΥ ΛΕΣΒΟΥ,26.134482,39.290566
224,ΕΝΙΑΙΟ ΛΥΚΕΙΟ ΚΑΡΑΤΟΥΛΑ,21.537596,37.734251
225,ΕΝΙΑΙΟ ΛΥΚΕΙΟ ΛΑΛΑ,21.72214,37.709659
226,5ο ΕΝΙΑΙΟ ΛΥΚΕΙΟ ΠΑΤΡΑΣ ΕΤΑΔ,21.734806,38.228829
227,ΕΝΙΑΙΟ ΛΥΚΕΙΟ ΛΟΥΣΙΚΩΝ,21.594508,38.108892
228,ΕΝΙΑΙΟ ΛΥΚΕΙΟ ΒΑΡΔΑΣ,21.365354,38.031541
229,ΕΝΙΑΙΟ ΛΥΚΕΙΟ ΣΙΜΟΠΟΥΛΟΥ,21.572047,37.849805
