level,location_id,name,sum,0-4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75+
7,24237050125,Δημοτική Κοινότητα Πριολίθου,138,3,9,7,6,4,10,0,3,8,8,12,11,4,13,7,31
8,2423705012501,"Πριόλιθος,ο",138,3,9,7,6,4,10,0,3,8,8,12,11,4,13,7,31
7,24237050126,Δημοτική Κοινότητα Προφήτου Ηλιού,53,5,0,0,0,3,3,4,5,3,7,3,3,7,6,5,11
8,2423705012601,"Προφήτης Ηλίας,ο",34,5,0,0,0,3,3,4,5,0,3,3,0,3,0,3,7
8,2423705012602,"Μουρίκιον,το",22,0,0,3,0,0,0,3,0,5,3,0,0,8,3,3,0
7,24237050127,Δημοτική Κοινότητα Ρωγών,52,0,3,0,0,0,4,0,0,4,0,3,0,4,5,4,11
8,2423705012701,"Ρωγοί,οι",52,0,3,0,0,0,4,0,0,4,0,3,0,4,5,4,11
7,24237050128,Δημοτική Κοινότητα Σιγουνίου,53,4,0,3,5,6,5,0,0,3,0,9,10,0,0,0,9
8,2423705012801,"Σιγούνιον,το",49,4,0,3,0,6,5,0,0,3,0,7,6,0,0,0,9
8,2423705012802,"Λεύκη,η",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,24237050129,Δημοτική Κοινότητα Σκεπαστού,505,17,23,38,17,13,13,22,29,37,53,31,43,27,39,29,72
8,2423705012901,"Σκεπαστόν,το",505,17,23,38,17,13,13,22,29,37,53,31,43,27,39,29,72
7,24237050130,Δημοτική Κοινότητα Τρεχλού,100,0,3,0,5,4,0,5,3,7,5,11,3,11,10,10,17
8,2423705013001,"Τρεχλόν,το",66,0,0,0,0,0,0,3,3,7,0,4,5,11,8,9,17
8,2423705013002,"Λαπάθεια,η",36,0,3,0,3,3,0,0,0,3,0,3,0,3,4,3,4
7,24237050131,Δημοτική Κοινότητα Φλαμπούρων,35,0,3,4,0,0,0,7,0,3,4,4,0,3,7,0,6
8,2423705013101,"Φλάμπουρα,τα",27,0,0,0,0,0,0,3,0,0,0,3,0,3,7,0,5
8,2423705013102,"Νεοχώριον,το",6,0,4,0,0,0,0,0,0,3,5,0,0,0,0,0,0
8,2423705013103,"Ορθολίθιον,το",9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
6,242370502,ΔΗΜΟΤΙΚΗ ΕΝΟΤΗΤΑ ΑΡΟΑΝΙΑΣ,1255,24,41,31,41,43,52,57,55,56,63,80,93,129,134,112,241
7,24237050201,Δημοτική Κοινότητα Ψωφίδος,275,7,14,9,14,3,10,12,17,11,16,24,16,21,29,21,44
8,2423705020101,"Τριπόταμα,τα",34,0,3,0,0,0,0,3,3,0,3,4,3,0,3,0,3
8,2423705020102,"Άνω Τριπόταμα,τα",58,0,7,7,0,0,4,5,4,5,4,0,4,5,8,3,5
8,2423705020103,"Άνω Ψωφίς,η",24,3,0,3,3,0,0,0,0,0,3,0,0,3,0,5,6
8,2423705020104,"Βασιλική,η",4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
8,2423705020105,"Κάτω Τριπόταμα,τα",111,0,5,0,3,5,0,4,10,4,3,12,4,11,12,9,21
8,2423705020106,"Ψωφίς,η",46,0,0,0,3,0,5,0,0,0,3,8,3,0,9,0,9
7,24237050202,Δημοτική Κοινότητα Αγραμπέλων,112,0,3,0,0,5,5,4,5,4,3,9,8,11,15,15,20
8,2423705020201,"Πλατανίτσα,η",70,0,3,0,0,0,6,5,3,4,5,5,6,6,11,9,13
8,2423705020202,"Αγράμπελα,τα",40,0,0,0,0,5,3,3,0,0,0,3,5,8,6,8,8
7,24237050203,Δημοτική Κοινότητα Αγριδίου,65,5,0,3,0,3,0,0,0,4,0,0,4,8,13,4,18
8,2423705020301,"Αγρίδιον,το",65,5,0,3,0,3,0,0,0,4,0,0,4,8,13,4,18
7,24237050204,Δημοτική Κοινότητα Αλεσταίνης,10,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3
8,2423705020401,"Αλέσταινα,η",10,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3
7,24237050205,Δημοτική Κοινότητα Αναστάσεως,62,0,0,3,6,4,0,0,4,3,3,4,3,0,6,5,18
8,2423705020501,"Ανάστασις,η",55,0,0,3,3,4,0,0,3,4,4,4,3,0,6,5,13
8,2423705020502,"Μονή Αγίων Θεοδώρων,η",5,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
7,24237050206,Δημοτική Κοινότητα Αροανίας,50,0,0,0,0,4,0,3,3,0,5,0,3,4,5,7,19
8,2423705020601,"Αροανία,η",50,0,0,0,0,4,0,3,3,0,5,0,3,4,5,7,19
7,24237050207,Δημοτική Κοινότητα Δεσινού,22,0,0,0,0,0,0,0,0,3,3,4,0,5,0,5,7
8,2423705020701,"Δεσινόν,το",22,0,0,0,0,0,0,0,0,3,3,4,0,5,0,5,7
7,24237050208,Δημοτική Κοινότητα Καμενιάνων,60,3,0,0,0,0,6,3,0,0,0,0,9,9,6,7,14
8,2423705020801,"Καμενιάνοι,οι",45,3,0,0,0,0,4,3,0,0,0,0,3,5,6,5,6
8,2423705020802,"Δροβολοβόν,το",12,0,0,0,0,0,0,0,0,0,0,0,3,0,3,4,6
7,24237050209,Δημοτική Κοινότητα Λεχουρίου,168,4,6,4,0,3,13,9,6,11,13,8,12,20,22,9,39
8,2423705020901,"Λεχούριον,το",133,4,6,3,0,0,7,9,6,6,10,5,6,14,17,9,27
8,2423705020902,"Κερασέα,η",37,0,3,3,0,3,3,0,0,3,5,0,4,4,0,3,9
7,24237050210,Δημοτική Κοινότητα Λιβαρτζίου,151,7,0,0,3,4,4,9,5,5,4,12,10,23,15,15,26
8,2423705021001,"Λιβάρτζιον,το",117,0,0,0,0,4,4,9,3,3,0,8,11,21,15,13,23
8,2423705021002,"Λιβάδιον,το",4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
8,2423705021003,"Λιβαρτζινόν,το",25,4,0,0,3,0,3,0,0,5,0,3,3,5,3,0,3
7,24237050211,Δημοτική Κοινότητα Πλάκας,88,0,3,3,5,7,6,10,6,5,0,7,6,17,9,4,6
8,2423705021101,"Πλάκα,η",88,0,3,3,5,7,6,10,6,5,0,7,6,17,9,4,6
7,24237050212,Δημοτική Κοινότητα Σειρών,199,7,4,4,7,18,5,7,11,14,10,16,17,12,17,13,29
